SKU	Product ID	Reference Name	Type	Cleared For Sale	Wholesale Price Tier	Displayed Name	Description	Screenshot Path	Effective Date	End Date	Review Notes	Hosted Content Path
StreetsofZombies	treeman	treeman	Non-Consumable	yes	1	Tree Man	Tree Man Character!	/Users/Nate/Documents/HighwayDodge/treeman.png	4/8/17			
StreetsofZombies	knighty	knighty	Non-Consumable	yes	1	Knighty	Knighty Character!	/Users/Nate/Documents/HighwayDodge/knighty.png	4/8/17			
StreetsofZombies	monster	monster	Non-Consumable	yes	1	Green Monster	Green Monster Character!	/Users/Nate/Documents/HighwayDodge/monster.png	4/8/17			
StreetsofZombies	yetiZ	yetiZ	Non-Consumable	yes	1	Yeti	Yeti Character!	/Users/Nate/Documents/HighwayDodge/yetiZ.png	4/8/17			
StreetsofZombies	zuel	zuel	Non-Consumable	yes	1	Zuel	Zuel Character!	/Users/Nate/Documents/HighwayDodge/zuel.png	4/8/17			
StreetsofZombies	roboroberto	roboroberto	Non-Consumable	yes	1	Robo Roberto	Robo Roberto Character!	/Users/Nate/Documents/HighwayDodge/roboroberto.png	4/8/17			
StreetsofZombies	mummymum	mummymum	Non-Consumable	yes	1	Mummy Mum	Mummy Mum Character!	/Users/Nate/Documents/HighwayDodge/mummymum.png	4/8/17			
StreetsofZombies	wizard	wizard	Non-Consumable	yes	1	The Wizard	The Wizard Character!	/Users/Nate/Documents/HighwayDodge/wizard.png	4/8/17			
StreetsofZombies	darkwizard	darkwizard	Non-Consumable	yes	1	Dark Wizard	Dark Wizard Character!	/Users/Nate/Documents/HighwayDodge/darkwizard.png	4/8/17			
StreetsofZombies	swampy	swampy	Non-Consumable	yes	1	Swampy	Swampy Character!	/Users/Nate/Documents/HighwayDodge/swampy.png	4/8/17			
StreetsofZombies	greenman	greenman	Non-Consumable	yes	1	Green Man	Green Man Character!	/Users/Nate/Documents/HighwayDodge/greenman.png	4/8/17			
StreetsofZombies	bugman	bugman	Non-Consumable	yes	1	Bug Man	Bug Man Character!	/Users/Nate/Documents/HighwayDodge/bugman.png	4/8/17			
StreetsofZombies	demonpoolZ	demonpoolZ	Non-Consumable	yes	1	Demon Pool	Demon Pool Character!	/Users/Nate/Documents/HighwayDodge/demonpoolZ.png	4/8/17			
StreetsofZombies	metalman	metalman	Non-Consumable	yes	1	Metal Man	Metal Man Character!	/Users/Nate/Documents/HighwayDodge/metalman.png	4/8/17			
StreetsofZombies	hawkman	hawkman	Non-Consumable	yes	1	Hawk Man	Hawk Man Character!	/Users/Nate/Documents/HighwayDodge/hawkman.png	4/8/17			
StreetsofZombies	superguyZ	superguyZ	Non-Consumable	yes	1	Super Guy	Super Guy Character!	/Users/Nate/Documents/HighwayDodge/superguyZ.png	4/8/17			
StreetsofZombies	superwhite	superwhite	Non-Consumable	yes	1	Super Gallactic Man	Super Gallactic Man Character!	/Users/Nate/Documents/HighwayDodge/superwhite.png	4/8/17			
